idCliente,idServidor,velocidad,distancia
0,6,300,7
1,6,900,2
2,6,600,4
3,6,900,9
4,6,600,9
5,6,600,5
7,14,900,4
8,14,600,6
9,14,900,8
10,14,600,1
11,14,900,5
12,14,300,4
13,14,900,5
15,20,600,3
16,20,900,9
17,20,900,9
18,20,300,5
19,20,600,5
21,27,900,4
22,27,600,2
23,27,900,5
24,27,300,9
25,27,300,8
26,27,600,10
29,34,900,3
30,34,600,8
31,34,300,5
32,34,300,6
33,34,300,6
35,38,600,5
36,38,900,5
37,38,900,9
39,40,600,6
41,49,900,1
42,49,600,10
43,49,300,4
44,49,900,2
45,49,300,9
46,49,300,4
47,49,900,9
48,49,300,3
51,53,600,8
52,53,300,6
54,65,900,7
55,65,600,1
56,65,300,9
57,65,600,1
58,65,600,7
59,65,300,2
60,65,300,2
61,65,900,8
62,65,300,1
63,65,600,3
64,65,600,4
66,69,600,5
67,69,300,7
68,69,600,7
70,71,300,3
73,79,300,8
74,79,900,8
75,79,300,10
76,79,300,10
77,79,900,10
78,79,300,4
80,84,900,6
81,84,900,10
82,84,600,5
83,84,600,6
85,87,600,5
86,87,600,5
88,97,300,7
89,97,600,7
90,97,300,1
91,97,600,10
92,97,300,7
93,97,900,3
94,97,900,2
95,97,900,9
96,97,300,10
98,106,900,10
99,106,600,9
100,106,900,8
101,106,900,9
102,106,900,1
103,106,600,5
104,106,600,6
105,106,900,6
107,118,600,10
108,118,600,3
109,118,600,5
110,118,900,5
111,118,300,5
112,118,300,8
113,118,600,6
114,118,600,9
115,118,900,4
116,118,600,8
117,118,600,7
119,122,600,9
120,122,300,4
121,122,900,6
123,124,900,7
125,130,900,6
126,130,300,8
127,130,300,5
128,130,900,9
129,130,600,10
131,137,600,5
132,137,600,4
133,137,900,4
134,137,300,8
135,137,300,1
136,137,300,7
138,139,300,6
140,150,300,1
141,150,900,8
142,150,900,10
143,150,600,8
144,150,900,9
145,150,600,6
146,150,900,3
147,150,600,10
148,150,600,1
149,150,600,7
152,160,300,1
153,160,300,10
154,160,300,1
155,160,300,9
156,160,600,4
157,160,900,6
158,160,600,10
159,160,600,5
161,165,900,6
162,165,900,9
163,165,300,6
164,165,300,1
166,167,600,8
168,171,900,3
169,171,300,7
170,171,600,8
172,174,900,4
173,174,600,10
176,184,900,10
177,184,300,9
178,184,900,1
179,184,300,6
180,184,900,1
181,184,900,10
182,184,600,1
183,184,600,6
185,187,600,9
186,187,600,9
188,192,900,3
189,192,900,6
190,192,900,7
191,192,900,3
194,199,600,4
195,199,900,8
196,199,600,6
197,199,900,5
198,199,900,6
201,207,900,2
202,207,600,1
203,207,900,7
204,207,600,7
205,207,300,3
206,207,600,4
208,212,600,1
209,212,600,7
210,212,900,4
211,212,900,10
214,217,600,5
215,217,900,8
216,217,900,2
218,228,900,3
219,228,300,2
220,228,900,9
221,228,600,9
222,228,900,6
223,228,900,2
224,228,300,5
225,228,900,7
226,228,300,9
227,228,300,7
229,235,300,8
230,235,300,4
231,235,300,3
232,235,900,3
233,235,300,6
234,235,600,9
236,239,900,8
237,239,300,3
238,239,600,7
240,244,300,4
241,244,300,6
242,244,600,1
243,244,300,10
245,246,600,3
249,251,600,1
250,251,300,4
253,254,900,8
256,259,900,3
257,259,300,4
258,259,900,4
260,263,900,3
261,263,900,6
262,263,900,1
265,266,600,5
267,286,900,6
